fighter,score,Peak_score
Tom Aaron,-6.276943090865345,3.723056909134655
Danny Abbadi,-19.0,-11.0
Nariman Abbasov,-10.0,-10.0
David Abbott,-112.92363879365556,5.4702345790295395
Hamdy Abdelwahab,0.0,-1000.0
Mansur Abdul-Malik,9.449244914630043,9.449244914630043
Shamil Abdurakhimov,-37.16413812733662,2.8358618726633784
Hiroyuki Abe,-11.0,-11.0
Daichi Abe,-15.091927385014134,4.9080726149858664
Papy Abedi,-29.310759314088955,-11.0
Ricardo Abreu,-4.409597468714525,3.590402531285475
Klidson Abreu,-14.833276320290256,-6.833276320290256
Cyborg Abreu,0.0,-1000.0
Daniel Acacio,-11.952096532790776,9.047903467209224
John Adajar,-11.0,-11.0
Scott Adams,11.407905203934636,11.407905203934636
Juan Adams,-23.852082926972674,6.147917073027327
Anthony Adams,-18.0,-8.0
Zarrukh Adashev,-26.733819241935834,-10.0
Israel Adesanya,71.60061727105227,92.60061727105227
Sam Adkins,-15.929585949530487,2.527261057042476
Mohamed Ado,-11.0,-11.0
Nick Agallar,-10.0,-10.0
Mariya Agapova,-44.34338943050185,-6.113383400245887
Kantharaj Agasa,0.0,-1000.0
Marcelo Aguiar,-10.0,-10.0
Fabio Aguiar,0.0,-1000.0
Edwin Aguilar,-10.0,-10.0
Jessica Aguilar,-38.17987678974258,-10.0
Kevin Aguilar,-14.569566185305312,23.430433814694688
Jesus Aguilar,15.483449262064035,15.483449262064035
Christian Aguilera,-18.225614082267498,3.7743859177325003
Nick Aguirre,-21.0,-10.0
Mike Aina,-8.0,-8.0
Ashiek Ajim,-10.0,-10.0
Hitomi Akano,-27.237742123684132,-7.237742123684132
Omari Akhmedov,10.75735970408821,19.245587973586066
Yoshihiro Akiyama,-4.0821449623894415,41.99218854704542
Rostem Akman,-20.0,-10.0
Razak Al-Hassan,-19.0,-11.0
Abdul-Kareem Al-Selwady,0.5869698529490606,10.58696985294906
Mostapha Al-Turk,-30.0,-10.0
Herdem Alacabek,-10.0,-10.0
Javi Alanis,-10.0,-10.0
 Alatengheili,-0.10315844546174979,8.531877513890679
Amir Albazi,21.839489554826457,31.839489554826457
Brett Albee,-10.0,-10.0
John Albert,-40.93951722665672,3.060482773343286
Junior Albini,-33.89427480402105,7.105725195978949
Wes Albritton,-10.0,-10.0
Aleksandra Albu,-12.731606413309422,6.268393586690579
Israel Albuquerque,-10.0,-10.0
Juan Alcain,2.6840033277484503,2.6840033277484503
Iuri Alcantara,-8.74374876565858,16.664424489922848
Ildemar Alcantara,7.401835679329714,24.712594993418673
Alfonso Alcarez,0.0,-1000.0
Gilbert Aldana,-20.0,-10.0
Irene Aldana,-8.675023862928198,1.3249761370718023
Hector Aldana,-30.0,-10.0
Jose Alday,-8.0,-8.0
Jose Aldo,89.15094805886727,104.98556536113321
JJ Aldrich,-19.977073062439192,2.401729901373799
Irina Alekseeva,-6.213085240431065,3.786914759568935
Talita Alencar,-6.205246131600741,3.794753868399259
Jim Alers,-5.745782365563748,12.254217634436252
John Alessio,-51.01724307479516,-11.0
Houston Alexander,-32.24110496272195,8.758895037278055
Kenneth Alexander,-8.0,-8.0
Lucas Alexander,-16.343116606346573,-6.343116606346572
Marcio Alexandre Junior,-21.183702284423156,-11.0
Olaf Alfonso,-38.0,-10.0
Pablo Alfonso,7.927298331002833,7.927298331002833
Levi Alford,0.0,-1000.0
Bill Algeo,-24.568267950382836,-4.568267950382837
Royce Alger,-21.0,-11.0
Amir Aliakbari,0.0,-1000.0
Sultan Aliev,-4.054899456341573,-3.9673682226805624
Nurullo Aliev,8.898919626326752,8.898919626326752
Ikram Aliskerov,15.392237638398711,25.39223763839871
Leon Aliu,-10.0,-10.0
John Allan,-29.0,-11.0
George Allen,-10.0,-10.0
Arnold Allen,68.64978922091473,77.38207196670962
Brendan Allen,68.05168079868211,78.05168079868211
Daniel Allen,3.530312007190699,3.530312007190699
Ben Alloway,-15.917656274726223,5.082343725273777
Asu Almabayev,25.933073008111506,25.933073008111506
Bekzat Almakhan,-10.0,-10.0
John Dave Almanza,-10.0,-10.0
Ricardo Almeida,2.2165473859006397,12.21654738590064
Magno Almeida,-20.0,-10.0
Thomas Almeida,-27.44284893463563,19.195600207975566
Ericka Almeida,-20.0,-10.0
Estefani Almeida,-10.0,-10.0
Jailton Almeida,57.34524848288309,57.34524848288309
Lucas Almeida,-19.566094418134817,-2.793365153633789
Cesar Almeida,11.606134043186968,11.606134043186968
Mauricio Alonso,0.0,-1000.0
Sarah Alpar,-16.148649902572554,3.851350097427446
Ali AlQaisi,-18.0,-8.0
Rico Altamirano,2.8588900958619226,2.8588900958619226
Victor Altamirano,-22.67360112875358,5.326398871246418
Mike Altman,-10.0,-10.0
Patricia Alujas,-11.0,-11.0
Sean Alvarez,-10.0,-10.0
Eddie Alvarez,23.00913510379985,33.00913510379985
Jaime Alvarez,3.1998184044306477,3.1998184044306477
Joel Alvarez,31.713775120403223,31.713775120403223
Thiago Alves,-36.262173073518696,35.39727799569574
Anthony Alves,-10.0,-10.0
Amilcar Alves,-21.0,-11.0
Warlley Alves,-0.32356213913150356,46.06956362453299
Rafael Alves,-1.6252542345909262,18.749685449765234
Sam Alvey,-75.65089834958133,11.340687863267458
Andre Amado,-30.0,-10.0
Adlan Amagov,7.906536343672573,7.906536343672573
Maiara Amanajas dos Santos,-10.0,-10.0
Chris Amarante,2.7878652065974645,2.7878652065974645
Jimmy Ambriz,-31.0,-10.0
JJ Ambrose,-11.0,-11.0
Alen Amedovski,-41.0,-10.0
Hyder Amil,21.17589406395355,21.17589406395355
Hamid Amiri,0.0,-1000.0
Makwan Amirkhani,-11.754246301871774,33.61315826697454
Jaqueline Amorim,4.067862193933704,4.067862193933704
Bertrand Amoussou,2.5714944537346334,2.5714944537346334
Karl Amoussou,-10.0,-10.0
Eryk Anders,-32.871801128463964,14.606484818481269
Matt Andersen,-10.0,-10.0
Andy Anderson,-10.0,-10.0
Lowell Anderson,-10.0,-10.0
Corey Anderson,13.292076208228988,23.292076208228988
Derek Anderson,0.0,-1000.0
Megan Anderson,-13.238848645617468,-2.238848645617468
Liam Anderson,-10.0,-10.0
Tatsuya Ando,-10.0,-10.0
Alex Andrade,-10.0,0.0
Jessica Andrade,3.2521880116942725,27.866115156514
Viscardi Andrade,12.432442941157268,12.432442941157268
Jermaine Andre,1.436815085764593,1.436815085764593
Juan Andres Luna,-8.0,-8.0
Fellipe Andrew,0.0,-1000.0
Dylan Andrews,-23.093268110484345,7.906731889515653
Reese Andy,-20.0,-10.0
 Angga,-10.0,-10.0
Julius Anglickas,4.283550801989463,4.283550801989463
Collin Anglin,-12.79336515363379,7.206634846366211
Chad Anheliger,-15.230877143133288,12.326473075440408
Yoji Anjo,-42.0,-10.0
Magomed Ankalaev,66.72000162078197,66.72000162078197
Gadzhimurad Antigulov,-26.475649334078987,14.524350665921014
Adam Antolin,4.581528629101927,5.363066814196701
Angelo Antonio,-10.0,-10.0
Vanilto Antunes,-10.0,-10.0
Azunna Anyanwu,2.9597309268985192,10.95973092689852
Shinsho Anzai,-11.18986865421363,-0.18986865421363053
Shinya Aoki,175.7113030631674,175.7113030631674
 Aoriqileng,-25.46278541248955,-10.0
Josh Appelt,-10.0,-10.0
Erik Apple,-32.0,-11.0
Kenji Arai,-10.0,-10.0
Romie Aram,-6.287350912003785,3.7126490879962146
Felipe Arantes,-16.408062096115984,11.591937903884018
Igor Araujo,-8.30645774537293,11.69354225462707
Viviane Araujo,-25.500098071206047,8.310705544623605
Julio Arce,3.273451056347392,12.629154814416925
Art Arciniega,0.0,-1000.0
Alice Ardelean,-18.0,-8.0
Tristan Arenal,2.8797355449444675,2.8797355449444675
Gabriel Arges,0.0,-1000.0
Dan Argueta,-26.923897191918286,-5.923897191918288
Reza Arianto,0.0,-1000.0
Hashem Arkhagha,-11.0,-11.0
Andrei Arlovski,-59.2383557187038,45.12458770472864
Garrett Armfield,-11.2312256079974,7.7687743920026
Joey Armstrong,3.8544096421255696,3.8544096421255696
Austin Arnett,-34.459046548314255,-10.0
Ricardo Arona,-7.599803179182617,17.30535278823699
Eli Aronov,-11.0,-11.0
Chalid Arrab,-8.232575972454878,2.767424027545122
Akbarh Arreola,-26.98108637922897,-6.981086379228968
Matt Arroyo,-13.000545160647118,4.999454839352882
Antonio Arroyo,-21.455620112523466,8.544379887476534
Gilles Arsene,-11.0,-11.0
Veta Arteaga,0.0,-1000.0
Cesar Arzamendia,-20.0,-10.0
Kai Asakura,0.0,-1000.0
Teddy Ash,-10.0,-10.0
Arman Ashimov,0.0,-1000.0
Yanal Ashmouz,5.578236371399387,10.58696985294906
 Asjabharan,0.0,-1000.0
Askar Askar,0.0,-1000.0
Askar Askarov,28.15312063085794,38.15312063085794
Cyril Asker,-22.04748489596232,-5.008733481549673
Khusein Askhabov,-10.0,-10.0
Scott Askham,-27.8487413444221,-6.931085069695876
Ben Askren,-17.03959146713122,3.9604085328687804
Ibo Aslan,23.167754663838476,23.167754663838476
Tom Aspinall,67.21868374301819,67.21868374301819
Bruno Assis,-10.0,-10.0
Junior Assuncao,-21.39884238231204,-7.422245352401077
Raphael Assuncao,24.76186137091836,63.39795112946528
Michael Aswell,-8.0,-8.0
Bazigit Atajev,-10.0,-10.0
Rich Attonito,-2.4890816121815442,11.260121682076566
Olivier Aubin-Mercier,-3.368605673571988,26.631394326428012
Pat Audinwood,-21.0,-11.0
Jose Augusto,0.0,-1000.0
Marcus Aurelio,-53.155398464507314,3.0960426422281895
David Avellan,-10.0,-10.0
Blas Avena,-16.65922646867579,0.4818834354622883
Levi Avera,-10.0,-10.0
Anthony Avila,2.91094174471179,2.91094174471179
Chris Avila,-20.0,-10.0
Julia Avila,-8.979177416033103,8.424729924707798
Saad Awad,-11.0,-11.0
Javy Ayala,0.0,-1000.0
Jessin Ayari,-24.166835539834555,5.833164460165446
Abu Azaitar,-14.081067092560655,5.918932907439345
Ottman Azaitar,-10.7944169630304,9.2055830369696
Luiz Azeredo,-20.865902126088756,14.346878796480558
Luciano Azevedo,-10.0,-10.0
Hunter Azure,1.5506440679407998,15.474541259859087
Niklas Backstrom,-8.251794166027382,10.748205833972618
Seth Baczynski,-33.21581629381127,12.344830476227905
Abdul Azeem Badakhshi,0.0,-1000.0
Ryan Bader,54.706388943603656,54.706388943603656
Izabela Badurek,-11.0,-11.0
Miguel Baeza,-21.506081438583895,18.493918561416105
Ali Bagautinov,-3.7447447303329016,21.263988751216772
Mehdi Baghdad,-19.0,-11.0
Melsik Baghdasaryan,12.233849289456671,16.128124093477723
Siyar Bahadurzada,-5.970663553740643,14.029336446259357
Ignacio Bahamondes,37.65426009314589,37.65426009314589
Bahatebole Batebolati,5.762200891161514,5.762200891161514
Shamar Bailey,-9.853376003622401,10.146623996377599
Jordan Bailey,0.0,-1000.0
Scott Baker,-11.0,-11.0
Bryan Baker,5.234447924017298,15.234447924017298
Jin Bala,0.0,-1000.0
 Balajin,-10.0,-10.0
Oluwale Bamgbose,-36.10179842642678,-6.101798426426781
Stephen Banaszak,0.0,-1000.0
Marcin Bandel,-20.0,-10.0
Humberto Bandenay,-22.79336515363379,7.206634846366211
Tae Hyun Bang,-14.1637840274324,-4.163784027432399
Yohan Banks,5.743333039779866,5.743333039779866
Shauna Bannon,-7.405832253036568,-7.405832253036568
Antonio Banuelos,-28.58437390016278,-1.7418476807629295
Renan Barao,-6.369060482580956,61.582735074859045
Junior Barata,-10.0,-10.0
Maycee Barber,31.877567727434535,31.877567727434535
Bryan Barberena,-48.80477728117639,21.40105232248398
Dione Barbosa,-3.142373764594895,6.857626235405105
Edson Barboza,27.332132725749794,59.989722611847974
Raoni Barcelos,33.32715658892509,54.580088161220246
Daniel Barez,-13.081067092560655,-8.0
Danny Barlow,12.075251435201801,12.075251435201801
Luke Barnatt,-11.970306605716283,14.029693394283717
James Barnes,-10.0,-10.0
Nick Barnes,0.0,-1000.0
Shonte Barnes,-11.0,-11.0
Josh Barnett,41.41749141495687,55.845836168561306
Chris Barnett,-24.38114958553875,-7.84940523080959
Chris Barnhizer,2.779987162746724,2.779987162746724
David Baron,-22.0,-11.0
Phil Baroni,-99.29808768584918,10.752321285245689
Dan Barrera,-10.0,-10.0
Carlos Barreto,-16.859584902271546,-10.0
Jose Barreto,-10.0,-10.0
Peter Barrett,-16.156614419728115,4.843385580271887
Marc-Andre Barriault,-46.588924140162675,-10.0
David Barrios,-10.0,-10.0
Alexandre Barros,-10.0,-10.0
Ricardo Barros,-10.0,-10.0
Francimar Barroso,5.643246950223528,30.77056272418247
Pat Barry,-47.65038471434376,5.995697123371068
Dean Barry,0.0,0.0
Enrique Barzola,-0.7837005378103044,13.696947781330032
Javid Basharat,31.19969716997744,41.19969716997744
Farid Basharat,53.380708085691886,53.380708085691886
Austin Bashi,4.6499978090488705,4.6499978090488705
Stephen Bass,-10.0,-10.0
Sean Bassett,-31.0,-11.0
Ryan Bastianelli,2.61794140449497,2.61794140449497
Shayna Baszler,-50.0,-10.0
Michel Batista,-11.0,-11.0
Bryan Battle,21.89579759181395,21.89579759181395
Alan Baudot,-30.0,-10.0
Mario Bautista,46.74746586214939,46.74746586214939
Chris Beal,-21.525213820409753,7.474786179590246
Donovan Beard,-11.0,-11.0
Rudy Bears,-11.0,-11.0
Salvador Becerra,0.0,-1000.0
Ariel Beck,-10.0,-10.0
Jeff Bedard,-8.188359613518745,2.8116403864812556
Eric Bedard,0.0,-1000.0
Johnny Bedford,-22.404531016373035,9.595468983626967
Rolando Bedoya,-28.0,-8.0
Chase Beebe,-40.80631245637086,9.193687543629139
Lyle Beerbohm,-1.9931678885647344,19.006832111435266
Allan Begosso,-10.0,-10.0
Mirsad Bektic,21.4389627038234,50.4389627038234
Diana Belbita,-44.02301245471001,-10.0
Alan Belcher,-17.452796121861184,2.547203878138818
Vitor Belfort,-1.8085882522947365,31.07404336198713
Yousri Belgaroui,-4.126239726869686,-4.126239726869686
Rodolfo Bellato,4.264960005385543,4.264960005385543
Danilo Belluardo,-20.0,-10.0
Joey Beltran,-49.602658701225856,-2.235195973078508
Marco Beltran,-14.139607075100606,16.860392924899394
Joseph Benavidez,89.98102830116134,120.98102830116134
Mike Bencic,-20.0,-10.0
Dave Beneteau,-23.00569200559284,5.840669598515633
Karla Benitez,-11.0,-11.0
Gabriel Benitez,-34.77425307385016,15.100171522724777
Charles Bennett,-22.619927094121874,-7.227353635181223
Josh Bennett,-10.0,-10.0
DeAnna Bennett,0.0,-1000.0
Benjamin Bennett,2.8242496057525592,2.8242496057525592
Lance Benoist,-10.099020022212478,4.227270735498973
Joe Benoit,-11.0,-11.0
Ryan Benoit,-32.55886545567685,1.980738893121826
Pat Benson,2.7813198101575716,2.7813198101575716
Len Bentley,2.7775236569911605,2.7775236569911605
Steve Berger,-30.0,-10.0
Kenneth Bergh,0.0,-1000.0
Bret Bergmark,-1.2141890702770883,-1.2141890702770883
Keith Berish,-10.0,-10.0
Dennis Bermudez,-3.0096530495501987,34.84890378729962
Manny Bermudez,-2.51902708362001,18.48097291637999
Talita Bernardo,-27.31599667225155,-10.0
Dave Berry,-10.0,-10.0
Keith Berry,-41.0,-10.0
Dieusel Berto,-10.0,-10.0
Edson Berto,-13.661579019722334,6.338420980277666
Allen Berube,-11.0,-11.0
Anton Berzin,-8.0,-8.0
Scott Bessac,-8.17090276906852,2.829097230931479
Matt Bessette,-18.0,-10.0
Khadzhi Bestaev,-10.0,-10.0
Fernando Bettega,-8.0,-8.0
Arjan Bhullar,-0.349360343464749,4.396019414414485
KB Bhullar,-20.0,-10.0
Bibulatov Magomed,-14.859584902271546,3.1404150977284546
David Bielkheden,-26.052077262849956,-10.0
Blake Bilder,-10.134454127039247,9.865545872960753
Jonas Bilharinho,3.530312007190699,3.530312007190699
Jeremiah Billington,-10.0,-10.0
Scott Bills,0.0,-1000.0
Anthony Birchak,-17.426860696712943,3.573139303287059
Chris Birchler,-10.0,-10.0
Angad Bisht,-4.105862907282306,3.8941370927176933
Michael Bisping,30.115260710942962,51.11526071094296
Amaury Bitetti,-10.0,-10.0
Caio Bittencourt,-11.0,-11.0
Davi Bittencourt,-10.0,-10.0
Simon Biyong,0.0,-1000.0
Jan Blachowicz,35.53087700007491,46.527236603700985
Jason Black,-23.14637353492713,6.853626465072873
Brad Blackburn,-2.547992003048911,17.45200799695109
Jason Blackford,2.8113149042703207,2.8113149042703207
Tom Blackledge,-11.0,-11.0
Sherrard Blackledge,-6.951101154739968,3.048898845260032
Da'Mon Blackshear,-5.831671351702894,4.123208741165091
Chasen Blair,-10.0,-10.0
Erin Blanchfield,46.08018590069725,50.53923244901151
Maximo Blanco,-31.524521134673847,-9.524521134673845
David Blanco,0.0,-1000.0
Curtis Blaydes,56.5522436384699,66.5522436384699
Tereza Bleda,-0.37063616793507403,4.638097313614599
Arlene Blencowe,0.0,-1000.0
Byron Bloodworth,-20.0,-10.0
Dashawn Boatwright,-10.0,-10.0
Dan Bobish,-37.94472397730972,3.055276022690277
Mark Bocek,-13.947736778442366,-2.8264457776150502
Kyle Bochniak,-34.8971648123064,-0.6175675411936492
James Bochnovic,-21.0,-10.0
Jeremy Boczulak,-11.0,-11.0
Tim Boetsch,-36.684824760955216,25.008023788064634
Galore Bofando,-7.307955831284227,2.692044168715773
Jay Bogan,0.0,-1000.0
Roman Bogatov,-10.0,-10.0
Derek Bohi,0.0,-1000.0
Jerry Bohlander,-5.1494943493207295,4.8505056506792705
Mandy Bohm,-17.405832253036568,-10.0
Kotetsu Boku,-10.0,-10.0
Gaston Bolanos,0.9101994258896715,5.918932907439345
Kyle Bolt,0.0,-1000.0
Denys Bondar,-31.0,-10.0
Luc Bondole,0.0,-1000.0
Tony Bonello,-10.0,-10.0
Gabriel Bonfim,18.47598202364714,23.40393605349683
Ismael Bonfim,28.959883820594136,30.174072890871223
Jesse Bongfeldt,-11.0,-11.0
Marcos Bonilla,0.0,-1000.0
Stephan Bonnar,-40.734746857836164,-5.685301073227265
Rogerio Bontorin,16.677248400996376,44.677248400996376
Ray Borg,0.7419420349535297,12.12547918605011
Igor Borisov,-11.0,-11.0
Kevin Borjas,-12.79336515363379,7.206634846366211
Calen Born,0.0,-1000.0
Caio Borralho,76.61911313115858,76.61911313115858
Zachary Borrego,-11.0,-11.0
Viacheslav Borshchev,-2.828075035000702,14.36135577068156
Tanner Boser,-16.271893308324493,13.4332781005961
Steve Bosse,0.4248242342264419,0.4248242342264419
Marcus Bossett,-19.428505546265367,2.5714944537346334
Chris Bostick,3.090173871141956,3.090173871141956
Poliana Botelho,-30.48137745671062,6.5280046023372265
Francois Botha,-11.0,-11.0
Gregory Bouchelaghem,-10.0,-10.0
Roy Boughton,0.0,-1000.0
Rich Bouphanouvong,-10.0,-10.0
Mike Bourke,-11.0,-11.0
Jess Bouscal,2.828643899108097,2.828643899108097
Tai Bowden,-7.4449586174575755,-7.4449586174575755
Melton Bowen,-11.0,-11.0
Kyron Bowen,-11.0,-11.0
Brian Bowles,19.30369268860953,40.30369268860953
Roger Bowling,-37.4262045136489,3.67370924228855
Blake Bowman,0.0,-1000.0
Ashe Bowman,-10.0,-10.0
Anvar Boynazarov,-10.0,-10.0
Colley Bradford,-11.0,-11.0
Kyle Bradley,-26.46262175562328,-10.0
Paul Bradley,-24.936032082699384,3.063967917300618
Sean Brady,50.698070310627145,50.698070310627145
Ebenezer Fontes Braga,-25.453076037772853,3.038829639153777
Ramiz Brahimaj,-23.405960437043813,-6.624193576665464
Adam Bramhald,-10.0,-10.0
Joe Brammer,-21.0,-11.0
David Branch,-12.836815261435373,12.629052997254771
Billy Brand,-11.0,-11.0
Diego Brandao,0.09640518811786336,12.930039414853134
Bruna Brasil,-7.3009071544279465,3.2640023011686132
Michael Bravo,-10.0,-10.0
Martin Bravo,-19.618244290943608,8.38175570905639
Roman Bravo-Young,0.0,-1000.0
Mike Breeden,-35.3619026863854,-10.0
Tom Breese,14.151048821785288,30.307663241513403
Elves Brener,12.241016329365799,32.2410163293658
Chris Brennan,-27.583113452257127,2.7980585275762424
Charlie Brenneman,-43.349686028745076,13.622937145120687
Robert Breslin,-11.0,-11.0
Mack Brewer,-10.0,-10.0
Marcos Brigagao,-10.0,-10.0
Jason Brilz,-23.367937981738717,7.888619682762211
Marcus Brimage,-1.9452791315979425,19.081016480364198
Aaron Brink,-8.483267546359642,-8.483267546359642
Henry Briones,-37.40720116612941,3.5927988338705847
Marcelo Brito,-10.0,-10.0
Joanderson Brito,38.215360094214184,46.215360094214184
Kaik Brito,-9.0,-9.0
Icaro Brito,0.0,-1000.0
Antwain Britt,-26.469687992809302,3.530312007190699
Drew Brokenshire,0.0,-1000.0
Mike Bronzoulis,-5.663641845687241,-5.663641845687241
Jonathan Brookins,-29.40709678394647,-7.192907713669381
Will Brooks,-23.91746932587406,8.082530674125943
Jarred Brooks,-10.105300223874174,4.019991311908316
Rob Broughton,-15.84817549049425,4.151824509505751
Lee Brousseau,-21.0,-11.0
Matt Brown,-43.984193417806814,12.0324671879139
Mike Brown,-20.993688674576454,12.538893967059082
Dominic Brown,-10.0,-10.0
Todd Brown,-20.0,-10.0
Terrell Brown,-10.0,-10.0
Chris Brown,-11.0,-11.0
Frederick Brown,0.0,-1000.0
Randy Brown,39.26201422874634,39.26201422874634
Damien Brown,-28.25591373296944,-2.2559137329694394
TJ Brown,-35.863312552109804,3.8833432079097694
Humberto Brown Morrison,-11.0,-11.0
Travis Browne,-15.261843674201998,35.42320400394417
Junie Browning,-8.088656710525534,2.911343289474466
Jules Bruchez,-11.0,-11.0
Justin Bruckmann,-11.0,-11.0
Cody Brundage,-47.950352596799455,-10.0
Steve Bruno,-12.410891438817963,-2.410891438817962
Fernando Bruno,-21.0,-11.0
Derek Brunson,38.64807395757908,58.64807395757908
Josh Bryant,-10.0,-10.0
Dennis Bryant,-10.0,-10.0
Robert Bryczek,-10.0,-10.0
Lukasz Brzeski,-20.7848548093734,4.2880217309305415
Justin Buchholz,-39.095277802635806,-8.095277802635803
Zak Bucia,-17.171356100891902,2.828643899108097
Courtney Buck,-21.0,-10.0
Joaquin Buckley,27.284090404774563,27.284090404774563
Martin Buday,20.93969675916905,28.837825940196442
Julia Budd,-13.44668145351034,3.157299132075174
Dylan Budka,-15.008733481549672,4.991266518450327
Mike Budnik,-25.624193576665462,3.3758064233345366
Francisco Bueno,-7.363847311327225,2.6361526886727753
Mayra Bueno Silva,-12.08938739224702,10.902631663743977
Paul Buentello,-5.894819886441093,14.47422452426642
Modestas Bukauskas,-17.048916744280653,5.762200891161514
Lee Kwan Bum,-11.0,-11.0
Josh Bumgarner,-11.0,-11.0
Shawn Bunch,0.0,-1000.0
Felipe Bunes,-10.0,-10.0
Shane Burgos,26.525963994657843,30.622666490025534
Joshua Burkman,-97.82080402260526,6.987288036276233
Justin Burlinson,-10.0,-10.0
Mads Burnell,-17.910075897401075,-6.910075897401075
Mikey Burnett,-2.8263177734411022,2.61794140449497
Kevin Burns,-9.722089157673508,20.27791084232649
Gilbert Burns,43.22447596032201,78.41864663766282
Josh Burns,0.0,-1000.0
Herbert Burns,-15.909097735197847,24.090902264802153
Derrick Burnsed,-8.0,-8.0
Nah-Shon Burrell,11.801036403623439,27.405016989208953
Martin Buschkamp,0.0,-1000.0
George Bush,-11.0,-11.0
Bubba Bush,-10.0,-10.0
Dakota Bush,-20.0,-10.0
Murilo Bustamante,-34.771999042757514,5.137322324358677
Nick Bustamante,0.0,-1000.0
Eduardo Bustillos,0.0,-1000.0
Jason Butcher,0.0,-1000.0
Todd Butler,-10.0,-10.0
Goldman Butler,-10.0,-10.0
Ian Butler,0.0,-1000.0
Raphael Butler,0.0,-1000.0
Jesse Butler,-20.0,-10.0
JP Buys,-46.62419357666546,-6.624193576665464
Dennis Buzukja,-30.39358518472759,-6.469687992809301
Charles Byrd,-12.0771608400335,17.9228391599665
Steve Byrnes,-10.0,-10.0
