name,wins,losses,weight,rating,Gfactor
Tom Aaron,5,3,155 lbs.,53.612808691599206,29.906179409521528
Danny Abbadi,4,6,155 lbs.,48.437492236063626,26.361526886727756
Nariman Abbasov,28,4,155 lbs.,73.6617040092857,239.23276185129333
David Abbott,10,15,265 lbs.,47.52145692445441,26.083858437919243
Hamdy Abdelwahab,5,0,264 lbs.,57.27063462667546,36.950705148014514
Mansur Abdul-Malik,7,0,185 lbs.,61.0592594012362,53.99051403242137
Shamil Abdurakhimov,20,8,235 lbs.,64.43185432816122,84.72485599542907
Hiroyuki Abe,8,15,145 lbs.,45.17111259914028,25.603232746556316
Daichi Abe,6,2,170 lbs.,56.65444653704023,35.30312007190699
Papy Abedi,10,4,185 lbs.,60.53255586453498,50.7204597015031
Ricardo Abreu,5,1,185 lbs.,56.024439078730964,33.84597190122413
Klidson Abreu,15,4,205 lbs.,66.46221475100927,112.67717254205117
Daniel Acacio,30,18,180 lbs.,54.47678209173319,31.065116679828478
John Adajar,6,2,170 lbs.,56.65444653704023,35.30312007190699
Scott Adams,8,1,225 lbs.,61.46437758504153,56.75343681732211
Juan Adams,5,3,265 lbs.,53.612808691599206,29.906179409521528
Anthony Adams,8,2,185 lbs.,60.126927176067355,48.43385580271887
Zarrukh Adashev,4,4,125 lbs.,50.61632470173249,27.3397263783791
Israel Adesanya,24,4,185 lbs.,72.356850463479,217.9553388477915
Sam Adkins,7,20,225 lbs.,39.324386898759315,25.140073524190502
Mohamed Ado,5,1,170 lbs.,56.024439078730964,33.84597190122413
Nick Agallar,24,6,155 lbs.,69.24217440131169,160.8331198739398
Mariya Agapova,10,5,125 lbs.,59.2153816771732,43.96019414414485
Kantharaj Agasa,12,3,135 lbs.,64.57627001778874,86.47065209547401
Marcelo Aguiar,2,3,170 lbs.,47.860697587003706,26.1794140449497
Fabio Aguiar,17,1,185 lbs.,72.89519868591181,227.03295436834873
Edwin Aguilar,26,19,185 lbs.,52.53926777471444,28.765825952789736
Jessica Aguilar,20,8,115 lbs.,64.43185432816122,84.72485599542907
Kevin Aguilar,17,5,155 lbs.,66.75457105753162,117.28040573507938
Jesus Aguilar,11,2,125 lbs.,64.68117135832257,87.76234253165141
Christian Aguilera,14,8,170 lbs.,59.93815727469698,47.43442335499074
Nick Aguirre,7,2,135 lbs.,58.4308999243863,40.76102808081713
Mike Aina,14,6,155 lbs.,62.63431673658675,66.06500254863008
Ashiek Ajim,6,2,135 lbs.,56.65444653704023,35.30312007190699
Hitomi Akano,18,10,135 lbs.,60.480046687295435,50.41344121189533
Omari Akhmedov,21,6,185 lbs.,67.8842472248527,136.22937145120687
Yoshihiro Akiyama,14,6,170 lbs.,62.63431673658675,66.06500254863008
Rostem Akman,6,2,170 lbs.,56.65444653704023,35.30312007190699
